,Kenteken,Voertuigsoort,Merk,Handelsbenaming,Massa_rijklaar,Datum_eerste_toelating,Brandstof_omschrijving,Datum_eerste_toelating_maand
881094,XN507D,Personenauto,VOLKSWAGEN,CADDY,1561,2019-02-20,CNG,
882778,V429VR,Bedrijfsauto,VOLKSWAGEN,CADDY,1589,2019-02-21,CNG,
882781,V433VR,Bedrijfsauto,VOLKSWAGEN,CADDY,1589,2019-02-21,CNG,
898362,V487ST,Bedrijfsauto,VOLKSWAGEN,CADDY,1664,2019-02-28,CNG,
900762,XP771X,Personenauto,VOLKSWAGEN,CADDY,1671,2019-02-28,CNG,
900763,XP772X,Personenauto,VOLKSWAGEN,CADDY,1671,2019-02-28,CNG,
900765,XP773X,Personenauto,VOLKSWAGEN,CADDY,1671,2019-02-28,CNG,
900766,XP774X,Personenauto,VOLKSWAGEN,CADDY,1671,2019-02-28,CNG,
900768,XP775X,Personenauto,VOLKSWAGEN,CADDY,1671,2019-02-28,CNG,
900769,XP776X,Personenauto,VOLKSWAGEN,CADDY,1671,2019-02-28,CNG,
900772,XP777X,Personenauto,VOLKSWAGEN,CADDY,1671,2019-02-28,CNG,
900774,XP778X,Personenauto,VOLKSWAGEN,CADDY,1671,2019-02-28,CNG,
900777,XP780X,Personenauto,VOLKSWAGEN,CADDY,1671,2019-02-28,CNG,
900779,XP781X,Personenauto,VOLKSWAGEN,CADDY,1671,2019-02-28,CNG,
900782,XP782X,Personenauto,VOLKSWAGEN,CADDY,1671,2019-02-28,CNG,
901415,XR141L,Personenauto,VOLKSWAGEN,CADDY,1671,2019-02-28,CNG,
908186,12BLP5,Bedrijfsauto,IVECO,50C14N,3227,2019-03-04,CNG,
908838,V532XH,Bedrijfsauto,IVECO,35S14N,2781,2019-03-04,CNG,
908839,V533XH,Bedrijfsauto,IVECO,35S14N,2969,2019-03-04,CNG,
908917,VNR94D,Bedrijfsauto,IVECO,35S14N,2754,2019-03-04,CNG,
909396,XR129L,Personenauto,VOLKSWAGEN,UP!,1033,2019-03-04,CNG,
911619,ZF630D,Personenauto,SEAT,IBIZA,1257,2019-03-05,CNG,
913008,XP142V,Personenauto,SEAT,IBIZA,1257,2019-03-06,CNG,
914991,V837TS,Bedrijfsauto,IVECO,35S14N,3028,2019-03-07,CNG,
915616,XR691V,Personenauto,VOLKSWAGEN,CADDY,1671,2019-03-07,CNG,
915617,XR692V,Personenauto,VOLKSWAGEN,CADDY,1671,2019-03-07,CNG,
915618,XR693V,Personenauto,VOLKSWAGEN,CADDY,1671,2019-03-07,CNG,
918332,XR606N,Personenauto,VOLKSWAGEN,CADDY,1561,2019-03-08,CNG,
918334,XR607N,Personenauto,VOLKSWAGEN,CADDY,1596,2019-03-08,CNG,
918336,XR608N,Personenauto,VOLKSWAGEN,CADDY,1596,2019-03-08,CNG,
918342,XR609N,Personenauto,VOLKSWAGEN,CADDY,1561,2019-03-08,CNG,
922444,XR841K,Personenauto,SEAT,IBIZA,1257,2019-03-11,CNG,
929856,XS379Z,Personenauto,VOLKSWAGEN,UP!,1033,2019-03-14,CNG,
930250,XS849N,Personenauto,SEAT,LEON,1301,2019-03-14,CNG,
936002,V709XJ,Bedrijfsauto,VOLKSWAGEN,CADDY,1668,2019-03-18,CNG,
936989,XT673G,Personenauto,SEAT,IBIZA,1257,2019-03-18,CNG,
940716,V879VR,Bedrijfsauto,VOLKSWAGEN,CADDY,1596,2019-03-20,CNG,
943318,V527VL,Bedrijfsauto,VOLKSWAGEN,CADDY,1590,2019-03-21,CNG,
948812,XV474D,Personenauto,SEAT,LEON ST,1342,2019-03-22,CNG,
957063,V501VG,Bedrijfsauto,VOLKSWAGEN,CADDY,1719,2019-03-27,CNG,
957543,XS386P,Personenauto,VOLKSWAGEN,CADDY,1671,2019-03-27,CNG,
957631,XT036P,Personenauto,SEAT,LEON ST,1342,2019-03-27,CNG,
957722,XT187F,Personenauto,VOLKSWAGEN,CADDY,1671,2019-03-27,CNG,
959939,H807JK,Personenauto,SEAT,ARONA,1308,2019-03-28,CNG,
960659,R277BB,Personenauto,SKODA,OCTAVIA,1389,2019-03-28,CNG,
961266,V836XT,Bedrijfsauto,IVECO,50C14N,3350,2019-03-28,CNG,
961268,V837XT,Bedrijfsauto,IVECO,50C14N,3350,2019-03-28,CNG,
965863,L595TN,Personenauto,SEAT,LEON ST,1374,2019-03-29,CNG,
984877,V796XR,Bedrijfsauto,IVECO,35S14N,2579,2019-04-04,CNG,
987445,P261TD,Personenauto,VOLKSWAGEN,UP!,1033,2019-04-05,CNG,
987631,V301VX,Bedrijfsauto,VOLKSWAGEN,CADDY,1682,2019-04-05,CNG,
987632,V302VX,Bedrijfsauto,VOLKSWAGEN,CADDY,1682,2019-04-05,CNG,
987793,V776ZK,Bedrijfsauto,IVECO,50C18,2995,2019-04-05,CNG,
988392,XV580D,Personenauto,SEAT,LEON,1301,2019-04-05,CNG,
990294,XT737G,Personenauto,SEAT,IBIZA,1257,2019-04-06,CNG,
