,Kenteken,Voertuigsoort,Merk,Handelsbenaming,Massa_rijklaar,Datum_eerste_toelating,Brandstof_omschrijving,Datum_eerste_toelating_maand
1349,RJ397H,Personenauto,DACIA,SANDERO,1115,2018-01-02,Alcohol,2018-12
208619,L698LG,Personenauto,VOLKSWAGEN,GOLF,1269,2018-03-30,Alcohol,
393549,TJ425J,Personenauto,RENAULT,SCENIC,1505,2018-06-19,Alcohol,
537517,R032DK,Personenauto,VOLKSWAGEN,GOLF,1269,2018-08-16,Alcohol,
