,Kenteken,Voertuigsoort,Merk,Handelsbenaming,Massa_rijklaar,Datum_eerste_toelating,Brandstof_omschrijving,Datum_eerste_toelating_maand
125229,84BKL4,Bedrijfsauto,IVECO,50C14N,3228,2018-02-23,LNG,
125232,86BKL4,Bedrijfsauto,IVECO,50C14N,3241,2018-02-23,LNG,
912661,V088XV,Bedrijfsauto,MERCEDES-BENZ,SPRINTER,3290,2019-03-06,LNG,
